symbol	code	company	price	high_52w	low_52w	range_position	sector	industry	market	volume	relative_volume	market_cap	per	pbr	dividend_yield	eps_ttm	perf_1y	flags
TSE:7795	7795	ＫＹＯＲＩＴＳＵ	220	265	183	45.1	商業サービス	商業印刷・フォーム	TSE	56400	0.93	9521901604	11.31	0.52	3.67	19.45	10	小型|低流動性
TSE:9876	9876	コックス	220	324	210	8.8	小売業	アパレル・フットウェア小売	TSE	14200	0.62	6019270779	6.75	0.58	0	32.61	-12.7	小型|低流動性|52週安値圏
TSE:4427	4427	Ｇ−ＥＤＵＬＡＢ	222	367	165	28.2	商業サービス	商業印刷・フォーム	TSE	14500	0.57	2228290413		1.77	0	-20.97	-40.64	小型|低流動性|赤字TTM
TSE:4381	4381	ビープラッツ	224	678	170	10.6	テクノロジーサービス	ITサービス	TSE	347200	1.01	960672054			0	-299.42	-62.6	極小時価総額|赤字TTM|52週安値圏
TSE:4487	4487	Ｇ−スペースマーケッ	225	368	205	12.3	テクノロジーサービス	インターネットソフトウェア・サービス	TSE	3000	1.13	2772225942	14.56	2.54	0	15.46	-40.16	小型|低流動性|52週安値圏
TSE:7919	7919	野崎印刷紙業	225	231	183	87.5	素材産業	容器・包装	TSE	8900	0.95	3830839779	7.89	0.76	3.36	28.52	7.14	小型|低流動性|52週高値圏
TSE:7776	7776	セルシード	226	518	200	8.2	ヘルスケアテクノロジー	その他医薬品	TSE	105200	0.71	9039309040		5.01	0	-28.97	-52.92	小型|赤字TTM|52週安値圏
TSE:8705	8705	日産証券グループ	226	313	162	42.4	金融	投資銀行・ブローカー	TSE	44200	0.64	11452181911	13.12	0.89	6.73	17.23	26.97	低流動性
TSE:3856	3856	ＡＢＡＬＡＮＣＥ	227	1048	184	5.0	電子テクノロジー	電子機器・計器	TSE	452100	0.77	4358700657	0.57	0.1	2.61	398.88	-78.58	小型|52週安値圏
TSE:6662	6662	ユビテック	227	300	195	30.5	テクノロジーサービス	ITサービス	TSE	5200	0.55	3268943439	67.62	2.19	0	3.36	-9.56	小型|低流動性
TSE:9425	9425	ＲＥＹＵＵ　ＪＡＰＡＮ	229	705	149	14.4	流通サービス	電子専門商社	TSE	287400	0.25	1924494007		1.22	0	-18.39	-69.26	極小時価総額|赤字TTM|52週安値圏
TSE:9162	9162	ブリーチ	231	396	223	4.6	商業サービス	広告・マーケティングサービス	TSE	4600	0.92	5970937866		0.64	0	-11.55	-42.25	小型|低流動性|赤字TTM|52週安値圏
NAG:3032	3032	ゴルフ・ドゥ	234	369	193	23.3	小売業	専門店	NAG	12300	1.47	1191115551	23.85	1.26	1.29	9.81	13.32	極小時価総額|低流動性
TSE:3639	3639	ボルテージ	235	311	198	32.7	テクノロジーサービス	パッケージソフトウェア	TSE	2600	0.56	1536618206		0.68	0	-12.42	-24.68	極小時価総額|低流動性|赤字TTM
TSE:4406	4406	新日本理化	235	299	188	42.3	素材産業	特殊化学	TSE	166600	0.59	8687354301	6.43	0.42	1.93	36.56	3.07	小型
TSE:9812	9812	テーオーホールディングス	236	322	216	18.9	流通サービス	卸売業者	TSE	5400	1.05	1512453423		4.0	0	-8.24	-26.25	極小時価総額|低流動性|赤字TTM
TSE:9969	9969	ショクブン	238	266	221	37.8	消費者サービス	飲食店	TSE	5000	1.17	3643451210		1.6	1.06	-5.58	-5.56	小型|低流動性|赤字TTM
TSE:2146	2146	ＵＴグループ	239	243	169	94.6	商業サービス	人材サービス	TSE	3074900	0.7	146448966003	18.62	4.45	5.54	12.83	28.22	52週高値圏
TSE:6615	6615	ユー・エム・シー・エレクトロニクス	239	435	220	8.8	電子テクノロジー	電子部品	TSE	26200	0.68	6788297424		0.39	4.17	-4.41	-21.38	小型|低流動性|赤字TTM|52週安値圏
TSE:7779	7779	ＣＹＢＥＲＤＹＮＥ	239	420	164	29.3	ヘルスケアテクノロジー	専門医療製品	TSE	1034900	1.29	30956006104	182.83	1.26	0	1.31	20.71	
TSE:2120	2120	ＬＩＦＵＬＬ	240	249	157	90.2	テクノロジーサービス	インターネットソフトウェア・サービス	TSE	1165200	1.23	30654341675	10.15	1.1	4.49	23.65	15.94	52週高値圏
TSE:7494	7494	コナカ	240	273	215	43.1	小売業	アパレル・フットウェア小売	TSE	54700	2.21	7990039673	4.39	0.47	4.17	54.68	-12.09	小型|低流動性
TSE:3928	3928	マイネット	241	347	211	22.1	テクノロジーサービス	パッケージソフトウェア	TSE	7600	1.02	2261606827		1.53	0	-11.12	-6.95	小型|低流動性|赤字TTM
TSE:9904	9904	ベリテ	242	423	210	15.0	小売業	専門店	TSE	17100	1.56	6593701235	16.06	1.55	5.55	15.07	-35.47	小型|低流動性|52週安値圏
TSE:2385	2385	総医研ホールディングス	243	325	180	43.4	商業サービス	その他法人向けサービス	TSE	11511800	414.09	5702487450	29.94	1.04	4.59	8.12	23.98	小型|出来高過熱
TSE:4720	4720	城南進学研究社	243	363	226	12.4	テクノロジーサービス	インターネットソフトウェア・サービス	TSE	3700	1.22	1964964455		1.69	2.87	-2.17	-3.57	極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:3825	3825	リミックスポイント	245	357	148	46.4	テクノロジーサービス	ITサービス	TSE	2166300	2.25	33869173050.0		1.67	2.16	-59.86	-28.78	赤字TTM
TSE:7908	7908	きもと	245	301	219	31.7	素材産業	産業用特殊品	TSE	76600	0.76	11599009232	19.27	0.56	2.85	12.71	-5.77	低流動性
TSE:1711	1711	ＳＤＳホールディングス	246	341	212	26.4	生産財製造	電気製品	TSE	33700	1.59	2576879530		4.77	0	-11.96	-18	小型|低流動性|赤字TTM
TSE:9466	9466	アイドママーケティングコミュニケーション	246	251	216	85.7	商業サービス	広告・マーケティングサービス	TSE	9500	2.15	3184317673	14.97	0.95	4.15	16.43	-1.2	小型|低流動性|52週高値圏
TSE:9434	9434	ソフトバンク	246.3	252.9	202.6	86.9	通信	無線通信	TSE	95589300	1.22	11844500718340	21.73	4.55	3.47	11.34	8.98	52週高値圏
TSE:4651	4651	サニックスホールディングス	247	318	192	43.7	産業サービス	環境サービス	TSE	198200	0.64	11998944008	9.95	1.08	0.8	24.83	3.78	
TSE:3758	3758	アエリア	248	312	224	27.3	テクノロジーサービス	パッケージソフトウェア	TSE	11000	0.77	5241546202	18.78	0.59	1.99	13.2	-21.02	小型|低流動性
TSE:462A	462A	ＦＵＮＤＩＮＮＯ	248	1451	202	3.7	金融	金融コングロマリット	TSE	132200	0.46	5922265335		1.35	0	-26.63	-71.91	小型|赤字TTM|52週安値圏
TSE:6049	6049	イトクロ	249	296	239	17.5	商業サービス	その他法人向けサービス	TSE	3700	0.13	5256512234	18.29	0.53	0	13.61	-15.59	小型|低流動性
TSE:6347	6347	プラコー	249	478	230	7.7	生産財製造	産業機械	TSE	10000	1.2	2436709788	23.96	1.49	2.41	10.39	-1.19	小型|低流動性|52週安値圏
TSE:8944	8944	ランドビジネス	249	348	224	20.2	金融	不動産開発	TSE	54500	1.48	5100451584	2.73	0.28	2.33	91.15	2.05	小型|低流動性
TSE:1840	1840	土屋ホールディングス	251	266	211	72.7	耐久消費財	住宅建設	TSE	15900	0.61	6274371887		0.54	3.98	-8.3	1.21	小型|低流動性|赤字TTM
TSE:6538	6538	ディスラプターズ	251	389	208	23.8	テクノロジーサービス	ITサービス	TSE	117700	3.54	5201035658	7.32	1.88	2.81	34.29	-20.32	小型|出来高過熱
TSE:9557	9557	エアークローゼット	251	391	148	42.4	金融	ファイナンス・レンタル・リース	TSE	14600	0.14	2062765966		6.8	0	-29.78	-36.78	小型|低流動性|赤字TTM
TSE:7183	7183	あんしん保証	254	257	142	97.4	金融	総合保険	TSE	48800	1.08	4584004469	19.4	1.76	0	13.09	47.67	小型|低流動性|52週高値圏
TSE:3121	3121	マーチャント・バンカーズ	255	285	189	68.8	金融	投資銀行・ブローカー	TSE	25500	0.35	8431059196		1.73	0.78	-3.23	-11.76	小型|低流動性|赤字TTM
TSE:4574	4574	大幸薬品	255	317	246	12.7	ヘルスケアテクノロジー	大手医薬品	TSE	103100	1.59	12870859486	18.63	1.52	1.28	13.69	-15.84	52週安値圏
TSE:2342	2342	トランスジェニックグループ	256	487	182	24.3	ヘルスケアテクノロジー	バイオテクノロジー	TSE	22300	0.41	4317879883	134.03	0.87	0	1.91	15.84	小型|低流動性
TSE:3645	3645	メディカルネット	256	321	225	32.3	商業サービス	広告・マーケティングサービス	TSE	13900	0.13	2256862793	17.14	1.19	1.17	14.93	-18.73	小型|低流動性
TSE:3776	3776	ブロードバンドタワー	256	300	157	69.2	テクノロジーサービス	データ処理サービス	TSE	358700	2.75	15336402065	31.71	1.72	1.2	8.07	48.84	
TSE:5129	5129	ＦＩＸＥＲ	257	665	227	6.8	テクノロジーサービス	パッケージソフトウェア	TSE	63700	0.63	4072630959		1.73	0	-184.83	-54.27	小型|低流動性|赤字TTM|52週安値圏
TSE:7771	7771	日本精密	257	940	83	20.3	耐久消費財	その他消費者特殊品	TSE	335200	2.14	6232266769	9.33	2.72	0	27.55	157	小型|1年変動大
TSE:9816	9816	ストライダーズ	257	384	228	18.6	金融	不動産開発	TSE	6300	0.26	2349598378	11.4	0.82	1.98	22.53	-10.45	小型|低流動性
TSE:4169	4169	ＥＮＥＣＨＡＮＧＥ	258	390	161	42.4	テクノロジーサービス	インターネットソフトウェア・サービス	TSE	291500	0.71	10905390549	32.16	2.29	0	8.02	-31.02	
TSE:4890	4890	坪田ラボ	259	478	210	18.3	商業サービス	その他法人向けサービス	TSE	25600	0.59	6856010834		9.1	0	-26.89	-28.85	小型|低流動性|赤字TTM
TSE:3192	3192	白鳩	260	530	241	6.6	小売業	インターネット小売	TSE	43000	2.08	1737206079		0.71	0	-26.86	-9.09	極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:7822	7822	永大産業	260	272	223	75.5	生産財製造	建築製品	TSE	19400	0.55	11402408340		0.27	3.88	-57.63	0.39	低流動性|赤字TTM
TSE:2353	2353	日本駐車場開発	261	298	233	43.1	商業サービス	その他法人向けサービス	TSE	2312900	1.03	88790352539	14.3	3.95	3.31	18.25	-10.62	
TSE:3929	3929	ソーシャルワイヤー	261	375	227	23.0	商業サービス	その他法人向けサービス	TSE	246300	7.79	2856934246	13.76	1.7	0	18.97	-2.61	小型|出来高過熱
TSE:5986	5986	モリテック　スチール	262	279	187	81.5	流通サービス	卸売業者	TSE	72000	1.63	5847715633	4.58	0.36	4.6	57.15	25.36	小型|低流動性
